x y
1403.3361974581908 310.217218467596
595.3024573016339 703.8893504782021
1294.3359499191204 908.6712766714425
1400.188233542642 285.1518671564712
597.9087729655902 708.1075290223964
1004.3278951140514 512.0933721565868
1009.601173855594 504.89735246543137
1385.8131981849322 291.6241189812305
1399.7490473149342 296.27038906081987
601.4542714450522 705.7117828547075
600.90000797702 704.2602538357445
984.7382961501681 508.57353112710797
602.0515060009712 713.6893809039251
1305.2789716807704 905.066076026514
1385.486671110409 291.14173659015336
1294.8422040837515 896.7952770804928
615.8175547916352 702.9893416182857
1289.7387444145209 899.3374314808354
1382.421731249076 316.6403096551954
985.1576716820217 479.8145934719598
617.5421736486686 703.0467219503779
991.035430863093 500.9454563074566
603.0815411556338 703.1603205486077
1407.5202517788057 308.9807427251172
1405.6755998119725 295.39932340970125
995.0590673845787 497.1824927712112
1291.5990217880421 907.0053498470212
1310.6346398558378 884.3245067019465
1307.877968014496 906.3542673524104
989.4510371243621 509.48719247508404
999.0012919324731 493.0982287509741
1413.1557847925976 301.1447506531933
1315.6952452679845 900.8765481988478
605.4641838595119 707.6323736952287
1315.9319141278545 911.1029063229056
999.4103462632842 504.8224918989592
1401.5426946151151 299.32213856193914
622.9543941703035 695.03763409108
1003.4776338860369 509.1978606904579
1309.13913495202 893.5631733300376
